run_id,loop,estimator,T,time,estimation_error_norm
b33b6142,1,EKF,30.0,0.00,0.000000
b33b6142,1,LMHE1,30.0,0.00,0.000000
b33b6142,1,LMHE3,30.0,0.00,0.000000
b33b6142,1,EKF,30.0,0.01,0.078655
b33b6142,1,LMHE1,30.0,0.01,0.113000
b33b6142,1,LMHE3,30.0,0.01,0.112852
b33b6142,1,EKF,30.0,0.02,0.077077
b33b6142,1,LMHE1,30.0,0.02,0.095958
b33b6142,1,LMHE3,30.0,0.02,0.095839
b33b6142,1,EKF,30.0,0.03,0.069764
b33b6142,1,LMHE1,30.0,0.03,0.083424
b33b6142,1,LMHE3,30.0,0.03,0.083326
b33b6142,1,EKF,30.0,0.04,0.075257
b33b6142,1,LMHE1,30.0,0.04,0.089489
b33b6142,1,LMHE3,30.0,0.04,0.090153
b33b6142,1,EKF,30.0,0.05,0.061397
b33b6142,1,LMHE1,30.0,0.05,0.071225
b33b6142,1,LMHE3,30.0,0.05,0.071381
b33b6142,1,EKF,30.0,0.06,0.079637
b33b6142,1,LMHE1,30.0,0.06,0.082329
b33b6142,1,LMHE3,30.0,0.06,0.083083
b33b6142,1,EKF,30.0,0.07,0.066023
b33b6142,1,LMHE1,30.0,0.07,0.070050
b33b6142,1,LMHE3,30.0,0.07,0.069648
b33b6142,1,EKF,30.0,0.08,0.072696
b33b6142,1,LMHE1,30.0,0.08,0.077709
b33b6142,1,LMHE3,30.0,0.08,0.077916
b33b6142,1,EKF,30.0,0.09,0.067996
b33b6142,1,LMHE1,30.0,0.09,0.071797
b33b6142,1,LMHE3,30.0,0.09,0.071593
b33b6142,1,EKF,30.0,0.10,0.060267
b33b6142,1,LMHE1,30.0,0.10,0.065287
b33b6142,1,LMHE3,30.0,0.10,0.065426
b33b6142,1,EKF,30.0,0.11,0.069573
b33b6142,1,LMHE1,30.0,0.11,0.073427
b33b6142,1,LMHE3,30.0,0.11,0.073454
b33b6142,1,EKF,30.0,0.12,0.103131
b33b6142,1,LMHE1,30.0,0.12,0.105580
b33b6142,1,LMHE3,30.0,0.12,0.105821
b33b6142,1,EKF,30.0,0.13,0.092073
b33b6142,1,LMHE1,30.0,0.13,0.093571
b33b6142,1,LMHE3,30.0,0.13,0.093739
b33b6142,1,EKF,30.0,0.14,0.079568
b33b6142,1,LMHE1,30.0,0.14,0.086847
b33b6142,1,LMHE3,30.0,0.14,0.087046
b33b6142,1,EKF,30.0,0.15,0.085543
b33b6142,1,LMHE1,30.0,0.15,0.086342
b33b6142,1,LMHE3,30.0,0.15,0.086174
b33b6142,1,EKF,30.0,0.16,0.091450
b33b6142,1,LMHE1,30.0,0.16,0.091902
b33b6142,1,LMHE3,30.0,0.16,0.091511
b33b6142,1,EKF,30.0,0.17,0.087575
b33b6142,1,LMHE1,30.0,0.17,0.103498
b33b6142,1,LMHE3,30.0,0.17,0.103664
b33b6142,1,EKF,30.0,0.18,0.185840
b33b6142,1,LMHE1,30.0,0.18,0.200291
b33b6142,1,LMHE3,30.0,0.18,0.199999
b33b6142,1,EKF,30.0,0.19,0.173013
b33b6142,1,LMHE1,30.0,0.19,0.196040
b33b6142,1,LMHE3,30.0,0.19,0.196333
b33b6142,1,EKF,30.0,0.20,0.115113
b33b6142,1,LMHE1,30.0,0.20,0.139492
b33b6142,1,LMHE3,30.0,0.20,0.139847
b33b6142,1,EKF,30.0,0.21,0.189670
b33b6142,1,LMHE1,30.0,0.21,0.212338
b33b6142,1,LMHE3,30.0,0.21,0.212128
b33b6142,1,EKF,30.0,0.22,0.148114
b33b6142,1,LMHE1,30.0,0.22,0.164716
b33b6142,1,LMHE3,30.0,0.22,0.164176
b33b6142,1,EKF,30.0,0.23,0.286491
b33b6142,1,LMHE1,30.0,0.23,0.296664
b33b6142,1,LMHE3,30.0,0.23,0.295978
b33b6142,1,EKF,30.0,0.24,0.317252
b33b6142,1,LMHE1,30.0,0.24,0.325955
b33b6142,1,LMHE3,30.0,0.24,0.325045
b33b6142,1,EKF,30.0,0.25,0.346012
b33b6142,1,LMHE1,30.0,0.25,0.354598
b33b6142,1,LMHE3,30.0,0.25,0.353624
b33b6142,1,EKF,30.0,0.26,0.347846
b33b6142,1,LMHE1,30.0,0.26,0.356780
b33b6142,1,LMHE3,30.0,0.26,0.355730
b33b6142,1,EKF,30.0,0.27,0.269906
b33b6142,1,LMHE1,30.0,0.27,0.286310
b33b6142,1,LMHE3,30.0,0.27,0.285660
b33b6142,1,EKF,30.0,0.28,0.107336
b33b6142,1,LMHE1,30.0,0.28,0.119251
b33b6142,1,LMHE3,30.0,0.28,0.118781
b33b6142,1,EKF,30.0,0.29,0.112169
b33b6142,1,LMHE1,30.0,0.29,0.116001
b33b6142,1,LMHE3,30.0,0.29,0.115145
b33b6142,1,EKF,30.0,0.30,0.104222
b33b6142,1,LMHE1,30.0,0.30,0.128492
b33b6142,1,LMHE3,30.0,0.30,0.128574
b33b6142,1,EKF,30.0,0.31,0.091809
b33b6142,1,LMHE1,30.0,0.31,0.106162
b33b6142,1,LMHE3,30.0,0.31,0.105747
b33b6142,1,EKF,30.0,0.32,0.047384
b33b6142,1,LMHE1,30.0,0.32,0.054882
b33b6142,1,LMHE3,30.0,0.32,0.054860
b33b6142,1,EKF,30.0,0.33,0.081912
b33b6142,1,LMHE1,30.0,0.33,0.085049
b33b6142,1,LMHE3,30.0,0.33,0.084359
b33b6142,1,EKF,30.0,0.34,0.051094
b33b6142,1,LMHE1,30.0,0.34,0.056712
b33b6142,1,LMHE3,30.0,0.34,0.056862
b33b6142,1,EKF,30.0,0.35,0.132592
b33b6142,1,LMHE1,30.0,0.35,0.116995
b33b6142,1,LMHE3,30.0,0.35,0.116260
b33b6142,1,EKF,30.0,0.36,0.101409
b33b6142,1,LMHE1,30.0,0.36,0.089775
b33b6142,1,LMHE3,30.0,0.36,0.088963
b33b6142,1,EKF,30.0,0.37,0.129648
b33b6142,1,LMHE1,30.0,0.37,0.123470
b33b6142,1,LMHE3,30.0,0.37,0.122672
b33b6142,1,EKF,30.0,0.38,0.119647
b33b6142,1,LMHE1,30.0,0.38,0.124486
b33b6142,1,LMHE3,30.0,0.38,0.123886
b33b6142,1,EKF,30.0,0.39,0.211314
b33b6142,1,LMHE1,30.0,0.39,0.226342
b33b6142,1,LMHE3,30.0,0.39,0.225926
b33b6142,1,EKF,30.0,0.40,0.118063
b33b6142,1,LMHE1,30.0,0.40,0.131422
b33b6142,1,LMHE3,30.0,0.40,0.131257
b33b6142,1,EKF,30.0,0.41,0.121824
b33b6142,1,LMHE1,30.0,0.41,0.122590
b33b6142,1,LMHE3,30.0,0.41,0.122077
b33b6142,1,EKF,30.0,0.42,0.059861
b33b6142,1,LMHE1,30.0,0.42,0.059186
b33b6142,1,LMHE3,30.0,0.42,0.059086
b33b6142,1,EKF,30.0,0.43,0.109720
b33b6142,1,LMHE1,30.0,0.43,0.104343
b33b6142,1,LMHE3,30.0,0.43,0.103905
b33b6142,1,EKF,30.0,0.44,0.124160
b33b6142,1,LMHE1,30.0,0.44,0.119131
b33b6142,1,LMHE3,30.0,0.44,0.118740
b33b6142,1,EKF,30.0,0.45,0.169582
b33b6142,1,LMHE1,30.0,0.45,0.160136
b33b6142,1,LMHE3,30.0,0.45,0.159892
b33b6142,1,EKF,30.0,0.46,0.127232
b33b6142,1,LMHE1,30.0,0.46,0.115536
b33b6142,1,LMHE3,30.0,0.46,0.115248
b33b6142,1,EKF,30.0,0.47,0.105955
b33b6142,1,LMHE1,30.0,0.47,0.096445
b33b6142,1,LMHE3,30.0,0.47,0.096105
b33b6142,1,EKF,30.0,0.48,0.138394
b33b6142,1,LMHE1,30.0,0.48,0.133936
b33b6142,1,LMHE3,30.0,0.48,0.133683
b33b6142,1,EKF,30.0,0.49,0.180339
b33b6142,1,LMHE1,30.0,0.49,0.179474
b33b6142,1,LMHE3,30.0,0.49,0.179335
b33b6142,1,EKF,30.0,0.50,0.136395
b33b6142,1,LMHE1,30.0,0.50,0.128497
b33b6142,1,LMHE3,30.0,0.50,0.128108
b33b6142,1,EKF,30.0,0.51,0.111206
b33b6142,1,LMHE1,30.0,0.51,0.103908
b33b6142,1,LMHE3,30.0,0.51,0.103527
b33b6142,1,EKF,30.0,0.52,0.164555
b33b6142,1,LMHE1,30.0,0.52,0.151657
b33b6142,1,LMHE3,30.0,0.52,0.151276
b33b6142,1,EKF,30.0,0.53,0.121148
b33b6142,1,LMHE1,30.0,0.53,0.113162
b33b6142,1,LMHE3,30.0,0.53,0.112694
b33b6142,1,EKF,30.0,0.54,0.194813
b33b6142,1,LMHE1,30.0,0.54,0.183858
b33b6142,1,LMHE3,30.0,0.54,0.183416
b33b6142,1,EKF,30.0,0.55,0.185986
b33b6142,1,LMHE1,30.0,0.55,0.174105
b33b6142,1,LMHE3,30.0,0.55,0.173776
b33b6142,1,EKF,30.0,0.56,0.205294
b33b6142,1,LMHE1,30.0,0.56,0.193540
b33b6142,1,LMHE3,30.0,0.56,0.193290
b33b6142,1,EKF,30.0,0.57,0.305966
b33b6142,1,LMHE1,30.0,0.57,0.290031
b33b6142,1,LMHE3,30.0,0.57,0.289750
b33b6142,1,EKF,30.0,0.58,0.388826
b33b6142,1,LMHE1,30.0,0.58,0.369777
b33b6142,1,LMHE3,30.0,0.58,0.369495
b33b6142,1,EKF,30.0,0.59,0.451533
b33b6142,1,LMHE1,30.0,0.59,0.430803
b33b6142,1,LMHE3,30.0,0.59,0.430544
b33b6142,1,EKF,30.0,0.60,0.363236
b33b6142,1,LMHE1,30.0,0.60,0.351255
b33b6142,1,LMHE3,30.0,0.60,0.350897
b33b6142,1,EKF,30.0,0.61,0.290670
b33b6142,1,LMHE1,30.0,0.61,0.279255
b33b6142,1,LMHE3,30.0,0.61,0.278946
b33b6142,1,EKF,30.0,0.62,0.323045
b33b6142,1,LMHE1,30.0,0.62,0.313548
b33b6142,1,LMHE3,30.0,0.62,0.313207
b33b6142,1,EKF,30.0,0.63,0.312345
b33b6142,1,LMHE1,30.0,0.63,0.305351
b33b6142,1,LMHE3,30.0,0.63,0.304985
b33b6142,1,EKF,30.0,0.64,0.196244
b33b6142,1,LMHE1,30.0,0.64,0.188497
b33b6142,1,LMHE3,30.0,0.64,0.188136
b33b6142,1,EKF,30.0,0.65,0.199608
b33b6142,1,LMHE1,30.0,0.65,0.190107
b33b6142,1,LMHE3,30.0,0.65,0.189816
b33b6142,1,EKF,30.0,0.66,0.240197
b33b6142,1,LMHE1,30.0,0.66,0.228718
b33b6142,1,LMHE3,30.0,0.66,0.228537
b33b6142,1,EKF,30.0,0.67,0.170996
b33b6142,1,LMHE1,30.0,0.67,0.164082
b33b6142,1,LMHE3,30.0,0.67,0.163750
b33b6142,1,EKF,30.0,0.68,0.137272
b33b6142,1,LMHE1,30.0,0.68,0.130881
b33b6142,1,LMHE3,30.0,0.68,0.130534
b33b6142,1,EKF,30.0,0.69,0.096981
b33b6142,1,LMHE1,30.0,0.69,0.091260
b33b6142,1,LMHE3,30.0,0.69,0.090874
b33b6142,1,EKF,30.0,0.70,0.118102
b33b6142,1,LMHE1,30.0,0.70,0.123636
b33b6142,1,LMHE3,30.0,0.70,0.123263
b33b6142,1,EKF,30.0,0.71,0.129087
b33b6142,1,LMHE1,30.0,0.71,0.137072
b33b6142,1,LMHE3,30.0,0.71,0.136822
b33b6142,1,EKF,30.0,0.72,0.126443
b33b6142,1,LMHE1,30.0,0.72,0.133156
b33b6142,1,LMHE3,30.0,0.72,0.132832
b33b6142,1,EKF,30.0,0.73,0.111737
b33b6142,1,LMHE1,30.0,0.73,0.117981
b33b6142,1,LMHE3,30.0,0.73,0.117711
b33b6142,1,EKF,30.0,0.74,0.141105
b33b6142,1,LMHE1,30.0,0.74,0.146482
b33b6142,1,LMHE3,30.0,0.74,0.146141
b33b6142,1,EKF,30.0,0.75,0.158188
b33b6142,1,LMHE1,30.0,0.75,0.163742
b33b6142,1,LMHE3,30.0,0.75,0.163420
b33b6142,1,EKF,30.0,0.76,0.178932
