run_id,loop,estimator,T,time,estimation_error_norm
33e0cf8b (Q1),1,MHE (Newton+L1AO N=50),30.0,0.13,0.116627
33e0cf8b (Q1),1,MHE (Newton+L1AO N=100),30.0,0.13,0.116627
33e0cf8b (Q1),1,EKF,30.0,0.14,0.125574
33e0cf8b (Q1),1,MHE (Newton+L1AO N=10),30.0,0.14,0.125848
33e0cf8b (Q1),1,MHE (Newton+L1AO N=20),30.0,0.14,0.125799
33e0cf8b (Q1),1,MHE (Newton+L1AO N=50),30.0,0.14,0.125799
33e0cf8b (Q1),1,MHE (Newton+L1AO N=100),30.0,0.14,0.125799
33e0cf8b (Q1),1,EKF,30.0,0.15,0.134165
33e0cf8b (Q1),1,MHE (Newton+L1AO N=10),30.0,0.15,0.134446
33e0cf8b (Q1),1,MHE (Newton+L1AO N=20),30.0,0.15,0.134364
33e0cf8b (Q1),1,MHE (Newton+L1AO N=50),30.0,0.15,0.134364
33e0cf8b (Q1),1,MHE (Newton+L1AO N=100),30.0,0.15,0.134364
33e0cf8b (Q1),1,EKF,30.0,0.16,0.148849
33e0cf8b (Q1),1,MHE (Newton+L1AO N=10),30.0,0.16,0.149030
33e0cf8b (Q1),1,MHE (Newton+L1AO N=20),30.0,0.16,0.148965
33e0cf8b (Q1),1,MHE (Newton+L1AO N=50),30.0,0.16,0.148965
33e0cf8b (Q1),1,MHE (Newton+L1AO N=100),30.0,0.16,0.148965
33e0cf8b (Q1),1,EKF,30.0,0.17,0.159714
33e0cf8b (Q1),1,MHE (Newton+L1AO N=10),30.0,0.17,0.159836
33e0cf8b (Q1),1,MHE (Newton+L1AO N=20),30.0,0.17,0.159897
33e0cf8b (Q1),1,MHE (Newton+L1AO N=50),30.0,0.17,0.159897
33e0cf8b (Q1),1,MHE (Newton+L1AO N=100),30.0,0.17,0.159897
33e0cf8b (Q1),1,EKF,30.0,0.18,0.171953
33e0cf8b (Q1),1,MHE (Newton+L1AO N=10),30.0,0.18,0.172175
33e0cf8b (Q1),1,MHE (Newton+L1AO N=20),30.0,0.18,0.172181
33e0cf8b (Q1),1,MHE (Newton+L1AO N=50),30.0,0.18,0.172181
33e0cf8b (Q1),1,MHE (Newton+L1AO N=100),30.0,0.18,0.172181
33e0cf8b (Q1),1,EKF,30.0,0.19,0.181406
33e0cf8b (Q1),1,MHE (Newton+L1AO N=10),30.0,0.19,0.181600
33e0cf8b (Q1),1,MHE (Newton+L1AO N=20),30.0,0.19,0.181648
33e0cf8b (Q1),1,MHE (Newton+L1AO N=50),30.0,0.19,0.181648
33e0cf8b (Q1),1,MHE (Newton+L1AO N=100),30.0,0.19,0.181648
33e0cf8b (Q1),1,EKF,30.0,0.20,0.196502
33e0cf8b (Q1),1,MHE (Newton+L1AO N=10),30.0,0.20,0.196704
