run_id,loop,estimator,RMSE,max_err,computation_time_per_step,T,ts,rmse_start
(N=5)17854858,1,EKF,0.057351044688606266,0.10098749525042149,0.13015824197963638,10.0,0.01,0
(N=5)17854858,1,LMHE1,0.059008316501128165,0.10254410319086527,5.123845454385424,10.0,0.01,0
(N=5)17854858,1,LMHE2,0.059401271197894255,0.13182236876256445,1.0622338662584583,10.0,0.01,0
(N=5)17854858,1,LMHE3,0.059041268440606406,0.1031431055397983,1.1405679320527629,10.0,0.01,0
(N=10)87543305,1,EKF,0.057351044688606266,0.10098749525042149,0.12915174836864124,10.0,0.01,0
(N=10)87543305,1,LMHE1,0.06282151381545777,0.10385979426532113,10.525586613389727,10.0,0.01,0
(N=10)87543305,1,LMHE2,0.0632882771593672,0.13182236876256445,3.9291452548069343,10.0,0.01,0
(N=10)87543305,1,LMHE3,0.06298671312078268,0.1047478594620681,4.15424605390498,10.0,0.01,0
(N=20)1c0da189,1,EKF,0.057351044688606266,0.10098749525042149,0.13022087900513238,10.0,0.01,0
(N=20)1c0da189,1,LMHE1,0.072444638702009,0.1080871591923816,33.21880199802252,10.0,0.01,0
(N=20)1c0da189,1,LMHE2,0.07307236140639435,0.13182236876256445,16.096217582443288,10.0,0.01,0
(N=20)1c0da189,1,LMHE3,0.07271490218684008,0.10950078168375083,16.74710259727248,10.0,0.01,0
(N=40)be41ecdb,1,EKF,0.057351044688606266,0.10098749525042149,0.12996403610224014,10.0,0.01,0
(N=40)be41ecdb,1,LMHE1,0.0736379401854292,0.11644610628346361,130.1702408591745,10.0,0.01,0
(N=40)be41ecdb,1,LMHE2,0.0743405131702269,0.13182236876256445,40.4059830169146,10.0,0.01,0
(N=40)be41ecdb,1,LMHE3,0.07366294944039592,0.11856592440981414,47.47688681325437,10.0,0.01,0
(N=80)73ddd137,1,EKF,0.05155415796024216,0.10909674222590675,0.13113936053944397,10.0,0.01,0
(N=80)73ddd137,1,LMHE1,0.06485189114247308,0.1076118149802805,681.2127229769702,10.0,0.01,0
(N=80)73ddd137,1,LMHE2,0.06483995892064547,0.11007567503753678,184.38096343656883,10.0,0.01,0
(N=80)73ddd137,1,LMHE3,0.06471626955118848,0.10917497680661091,206.15295224779328,10.0,0.01,0
