run_id,loop,estimator,RMSE,max_err,computation_time_per_step,T,ts,rmse_start
33e0cf8b (Q1),1,EKF,0.7769012137379706,1.235919347974426,0.13110273238674913,30.0,0.01,0
33e0cf8b (Q1),1,MHE (Newton+L1AO N=10),0.726898899028873,1.1397674007998815,4.440201132973208,30.0,0.01,0
33e0cf8b (Q1),1,MHE (Newton+L1AO N=20),0.5974446116109137,0.901857948508998,19.789977140987826,30.0,0.01,0
33e0cf8b (Q1),1,MHE (Newton+L1AO N=50),0.320831353893324,0.4948938128209573,91.98882829063373,30.0,0.01,0
33e0cf8b (Q1),1,MHE (Newton+L1AO N=100),0.3108649512715218,0.6165863805964212,411.8147279906761,30.0,0.01,0
677a5eaa (Q1),1,MHE (OSQP N=10),0.7269111254731091,1.1397766616292146,4.041686671081854,30.0,0.01,0
677a5eaa (Q1),1,MHE (OSQP N=100),0.31082008095465746,0.6162477348393861,383.65857720755844,30.0,0.01,0
71ffb1a7 (Q2),1,EKF,0.34266400206488834,0.4978683264500092,0.13200683107736785,30.0,0.01,0
71ffb1a7 (Q2),1,MHE (Newton+L1AO N=10),0.3189583743018862,0.5092910598637712,4.294714895075498,30.0,0.01,0
71ffb1a7 (Q2),1,MHE (Newton+L1AO N=20),0.29531191094907,0.4976544319245634,17.47869116960789,30.0,0.01,0
71ffb1a7 (Q2),1,MHE (Newton+L1AO N=50),0.29268754377815204,0.514018704569596,87.90928007336876,30.0,0.01,0
71ffb1a7 (Q2),1,MHE (Newton+L1AO N=100),0.2769802437890323,0.45438475380881294,402.16712179278437,30.0,0.01,0
2dc08fea (Q3),1,EKF,0.2834239802305993,0.47055923006082445,0.1326634455348096,30.0,0.01,0
2dc08fea (Q3),1,MHE (Newton+L1AO N=10),0.2793391436559014,0.4511309760095191,4.2723519826119825,30.0,0.01,0
2dc08fea (Q3),1,MHE (Newton+L1AO N=20),0.27681016029447164,0.4574736895948751,18.747037254281338,30.0,0.01,0
2dc08fea (Q3),1,MHE (Newton+L1AO N=50),0.23677529766611868,0.39862961569778543,84.8591403865157,30.0,0.01,0
2dc08fea (Q3),1,MHE (Newton+L1AO N=100),0.23950947489844668,0.4391112218011969,401.90891602795955,30.0,0.01,0
e30dfc11,1,EKF,0.2840304633516864,0.47055703465123855,0.13110486502544716,30.0,0.01,0
e30dfc11,1,MHE (OSQP N=10),0.28011304126586434,0.45113038791043725,11.158629590089928,30.0,0.01,0
e30dfc11,1,MHE (OSQP N=20),0.2770308097771934,0.45747395182536243,38.527163378838466,30.0,0.01,0
e30dfc11,1,MHE (OSQP N=50),0.23630206623604277,0.39862956737965083,233.22076411199063,30.0,0.01,0
e30dfc11,1,MHE (OSQP N=100),0.23888998650267917,0.43384940078113854,1373.4506996667683,30.0,0.01,0
