date,estimator,RMSE,max_err,computation_time_per_step_ms,T,ts
2025/07/31 11:38:41,KF,0.14604370431139937,1.0861344021404382,0.047676494012056175,2.5,0.01
2025/07/31 11:38:41,EKF,0.03651581941444635,0.6115826133796229,0.11667250999967489,2.5,0.01
2025/07/31 11:38:41,LMHE1,0.14789083986636337,1.071486493585557,33.183210358590415,2.5,0.01
2025/07/31 11:38:41,LMHE2,0.049834361018139796,0.5290672594723178,34.23717808763615,2.5,0.01
2025/07/31 11:38:58,KF,0.1585083785863133,1.0837773532378308,0.04697490043602364,2.5,0.01
2025/07/31 11:38:58,EKF,0.030331619401832002,0.9931463287858802,0.116820717139997,2.5,0.01
2025/07/31 11:38:58,LMHE1,0.15574243492313336,1.0689809136625612,33.440409163330806,2.5,0.01
2025/07/31 11:38:58,LMHE2,0.038504019334881324,0.993239833212254,33.8131661354207,2.5,0.01
2025/07/31 11:39:15,KF,0.164976291807525,1.0773178939320656,0.047217529852395926,2.5,0.01
2025/07/31 11:39:15,EKF,0.03639015780079227,0.9459688371232104,0.11617250996085247,2.5,0.01
2025/07/31 11:39:15,LMHE1,0.16629343172331582,1.0717683161581397,33.402404382482146,2.5,0.01
2025/07/31 11:39:15,LMHE2,0.05089424184057181,0.9308941783018512,33.91195657372936,2.5,0.01
2025/07/31 11:39:32,KF,0.1601825546915589,1.0754999063821926,0.046678884448836076,2.5,0.01
2025/07/31 11:39:32,EKF,0.03146999769337003,0.758624503065899,0.11673545816438309,2.5,0.01
2025/07/31 11:39:32,LMHE1,0.1540033533766409,1.0734944966260893,33.33721035854674,2.5,0.01
2025/07/31 11:39:32,LMHE2,0.04220790248683218,0.671218966139644,33.43518565735173,2.5,0.01
2025/07/31 11:39:49,KF,0.1486977912476085,1.079298004403509,0.0470059760799817,2.5,0.01
2025/07/31 11:39:49,EKF,0.03375147721452426,0.9582771575397734,0.11695179279171955,2.5,0.01
2025/07/31 11:39:49,LMHE1,0.1451385979018317,1.1131668053235864,33.57977011948091,2.5,0.01
2025/07/31 11:39:49,LMHE2,0.03994643537710672,1.1126117513777227,33.96423824701507,2.5,0.01
2025/07/31 11:40:06,KF,0.16793575889986662,1.0844648589711354,0.04711713149319904,2.5,0.01
2025/07/31 11:40:06,EKF,0.02952550342284625,0.5269378868367686,0.11684940238548183,2.5,0.01
2025/07/31 11:40:06,LMHE1,0.1645274662903182,1.0807879163502907,33.56196533863533,2.5,0.01
2025/07/31 11:40:06,LMHE2,0.039593908086051295,0.4865305802697768,33.49544462145852,2.5,0.01
2025/07/31 11:40:23,KF,0.14938339453680266,1.1635718024255897,0.04704342627447039,2.5,0.01
2025/07/31 11:40:23,EKF,0.042700916510264246,1.1591902872535527,0.1165322708735888,2.5,0.01
2025/07/31 11:40:23,LMHE1,0.14479633368726758,1.163687382649362,33.854357768891404,2.5,0.01
2025/07/31 11:40:23,LMHE2,0.051697834865846004,1.1593785156196579,34.13574541836608,2.5,0.01
2025/07/31 11:40:40,KF,0.1490016183953591,1.0585640441658417,0.047858964129577415,2.5,0.01
2025/07/31 11:40:40,EKF,0.03278902983847651,0.8143939465040082,0.11656414345231471,2.5,0.01
2025/07/31 11:40:40,LMHE1,0.14579591045131324,1.135463321764402,33.646416733103095,2.5,0.01
2025/07/31 11:40:40,LMHE2,0.04081254800137119,0.8040372270821673,33.900314741000344,2.5,0.01
2025/07/31 11:40:57,KF,0.13591266301178276,1.0570982996582574,0.04698685260231707,2.5,0.01
2025/07/31 11:40:57,EKF,0.03284837295946836,0.6236800800193577,0.11663625497543494,2.5,0.01
2025/07/31 11:40:57,LMHE1,0.1328137435522063,1.0386588090692623,33.383139840638414,2.5,0.01
2025/07/31 11:40:57,LMHE2,0.04640467486886444,0.7110433105291263,33.50702310755545,2.5,0.01
2025/07/31 11:41:14,KF,0.14723671373828548,1.0659539112994614,0.047137848608496326,2.5,0.01
2025/07/31 11:41:14,EKF,0.03405536906872941,0.6828888457648143,0.11716095616566054,2.5,0.01
2025/07/31 11:41:14,LMHE1,0.14662450148738423,1.0483981872523187,33.394524302802964,2.5,0.01
2025/07/31 11:41:14,LMHE2,0.04715809075203236,0.7701241204360127,34.013590836652604,2.5,0.01
2025/07/31 11:43:29,KF,0.1527123588932064,1.0730959756554275,0.048239043864154396,2.5,0.01
2025/07/31 11:43:29,EKF,0.030423852238300304,0.778482783007371,0.118613545852435,2.5,0.01
2025/07/31 11:43:29,LMHE1,0.14870483590565206,1.0681757038924293,33.267194023949514,2.5,0.01
2025/07/31 11:43:29,LMHE2,0.03541684251708321,0.7815013278202492,34.28219003981792,2.5,0.01
2025/07/31 11:43:46,KF,0.16985639973498182,1.091172685531613,0.04701195216312841,2.5,0.01
2025/07/31 11:43:46,EKF,0.028992149458968376,0.5038955688073322,0.11692430283243498,2.5,0.01
2025/07/31 11:43:46,LMHE1,0.16542683472398043,1.0900882986266076,33.660882071740794,2.5,0.01
2025/07/31 11:43:46,LMHE2,0.038081071559532345,0.5380417810479097,33.45427529885669,2.5,0.01
2025/07/31 11:44:03,KF,0.14661312821362948,1.0755891900943872,0.0474788844529762,2.5,0.01
2025/07/31 11:44:03,EKF,0.027805787569115226,0.6209113859511339,0.11730398409962803,2.5,0.01
2025/07/31 11:44:03,LMHE1,0.14303662758823943,1.0658783559093228,33.3209657370585,2.5,0.01
2025/07/31 11:44:03,LMHE2,0.040468927204305824,0.5357415336401641,33.40539482071536,2.5,0.01
2025/07/31 11:44:20,KF,0.14240939286200208,1.6866396158981052,0.047345019935396505,2.5,0.01
