run_id,loop,estimator,T,time,estimation_error_norm
dfc77c79,1,LMHE1,1.0,0.21,0.329039
dfc77c79,1,LMHE2,1.0,0.21,0.419747
dfc77c79,1,LMHE3,1.0,0.21,0.320553
dfc77c79,1,EKF,1.0,0.22,0.358169
dfc77c79,1,LMHE1,1.0,0.22,0.336597
dfc77c79,1,LMHE2,1.0,0.22,0.467961
dfc77c79,1,LMHE3,1.0,0.22,0.336506
dfc77c79,1,EKF,1.0,0.23,0.348992
dfc77c79,1,LMHE1,1.0,0.23,0.328767
dfc77c79,1,LMHE2,1.0,0.23,0.440698
dfc77c79,1,LMHE3,1.0,0.23,0.326307
dfc77c79,1,EKF,1.0,0.24,0.348364
dfc77c79,1,LMHE1,1.0,0.24,0.328376
dfc77c79,1,LMHE2,1.0,0.24,0.455277
dfc77c79,1,LMHE3,1.0,0.24,0.329030
dfc77c79,1,EKF,1.0,0.25,0.296086
dfc77c79,1,LMHE1,1.0,0.25,0.274532
dfc77c79,1,LMHE2,1.0,0.25,0.372817
dfc77c79,1,LMHE3,1.0,0.25,0.252794
dfc77c79,1,EKF,1.0,0.26,0.311484
dfc77c79,1,LMHE1,1.0,0.26,0.283426
dfc77c79,1,LMHE2,1.0,0.26,0.468968
dfc77c79,1,LMHE3,1.0,0.26,0.291013
dfc77c79,1,EKF,1.0,0.27,0.302166
dfc77c79,1,LMHE1,1.0,0.27,0.275889
dfc77c79,1,LMHE2,1.0,0.27,0.407551
dfc77c79,1,LMHE3,1.0,0.27,0.280799
dfc77c79,1,EKF,1.0,0.28,0.258539
dfc77c79,1,LMHE1,1.0,0.28,0.230721
dfc77c79,1,LMHE2,1.0,0.28,0.348529
dfc77c79,1,LMHE3,1.0,0.28,0.218120
dfc77c79,1,EKF,1.0,0.29,0.250152
dfc77c79,1,LMHE1,1.0,0.29,0.225789
dfc77c79,1,LMHE2,1.0,0.29,0.360113
dfc77c79,1,LMHE3,1.0,0.29,0.225837
dfc77c79,1,EKF,1.0,0.30,0.247459
dfc77c79,1,LMHE1,1.0,0.30,0.222015
dfc77c79,1,LMHE2,1.0,0.30,0.362207
dfc77c79,1,LMHE3,1.0,0.30,0.229085
dfc77c79,1,EKF,1.0,0.31,0.231440
dfc77c79,1,LMHE1,1.0,0.31,0.210023
dfc77c79,1,LMHE2,1.0,0.31,0.317155
dfc77c79,1,LMHE3,1.0,0.31,0.212595
dfc77c79,1,EKF,1.0,0.32,0.221109
dfc77c79,1,LMHE1,1.0,0.32,0.197646
dfc77c79,1,LMHE2,1.0,0.32,0.328343
dfc77c79,1,LMHE3,1.0,0.32,0.201847
dfc77c79,1,EKF,1.0,0.33,0.234116
dfc77c79,1,LMHE1,1.0,0.33,0.215776
dfc77c79,1,LMHE2,1.0,0.33,0.339685
dfc77c79,1,LMHE3,1.0,0.33,0.234235
dfc77c79,1,EKF,1.0,0.34,0.208747
dfc77c79,1,LMHE1,1.0,0.34,0.191473
dfc77c79,1,LMHE2,1.0,0.34,0.274829
dfc77c79,1,LMHE3,1.0,0.34,0.193094
dfc77c79,1,EKF,1.0,0.35,0.192297
dfc77c79,1,LMHE1,1.0,0.35,0.178144
dfc77c79,1,LMHE2,1.0,0.35,0.262228
dfc77c79,1,LMHE3,1.0,0.35,0.179618
dfc77c79,1,EKF,1.0,0.36,0.163936
dfc77c79,1,LMHE1,1.0,0.36,0.149788
dfc77c79,1,LMHE2,1.0,0.36,0.228022
dfc77c79,1,LMHE3,1.0,0.36,0.143587
dfc77c79,1,EKF,1.0,0.37,0.135635
dfc77c79,1,LMHE1,1.0,0.37,0.127372
dfc77c79,1,LMHE2,1.0,0.37,0.185601
dfc77c79,1,LMHE3,1.0,0.37,0.120784
dfc77c79,1,EKF,1.0,0.38,0.134914
dfc77c79,1,LMHE1,1.0,0.38,0.120737
dfc77c79,1,LMHE2,1.0,0.38,0.241995
dfc77c79,1,LMHE3,1.0,0.38,0.127821
dfc77c79,1,EKF,1.0,0.39,0.143382
dfc77c79,1,LMHE1,1.0,0.39,0.134685
dfc77c79,1,LMHE2,1.0,0.39,0.214571
dfc77c79,1,LMHE3,1.0,0.39,0.155606
dfc77c79,1,EKF,1.0,0.40,0.137493
dfc77c79,1,LMHE1,1.0,0.40,0.125697
dfc77c79,1,LMHE2,1.0,0.40,0.220669
dfc77c79,1,LMHE3,1.0,0.40,0.141906
dfc77c79,1,EKF,1.0,0.41,0.136862
dfc77c79,1,LMHE1,1.0,0.41,0.131505
dfc77c79,1,LMHE2,1.0,0.41,0.188315
dfc77c79,1,LMHE3,1.0,0.41,0.151851
dfc77c79,1,EKF,1.0,0.42,0.133201
dfc77c79,1,LMHE1,1.0,0.42,0.130479
dfc77c79,1,LMHE2,1.0,0.42,0.174966
dfc77c79,1,LMHE3,1.0,0.42,0.147721
dfc77c79,1,EKF,1.0,0.43,0.151335
dfc77c79,1,LMHE1,1.0,0.43,0.147565
dfc77c79,1,LMHE2,1.0,0.43,0.227745
dfc77c79,1,LMHE3,1.0,0.43,0.177456
dfc77c79,1,EKF,1.0,0.44,0.130503
dfc77c79,1,LMHE1,1.0,0.44,0.127786
dfc77c79,1,LMHE2,1.0,0.44,0.153280
dfc77c79,1,LMHE3,1.0,0.44,0.136779
dfc77c79,1,EKF,1.0,0.45,0.112592
dfc77c79,1,LMHE1,1.0,0.45,0.112816
dfc77c79,1,LMHE2,1.0,0.45,0.134570
dfc77c79,1,LMHE3,1.0,0.45,0.114989
dfc77c79,1,EKF,1.0,0.46,0.105085
dfc77c79,1,LMHE1,1.0,0.46,0.108431
dfc77c79,1,LMHE2,1.0,0.46,0.118809
dfc77c79,1,LMHE3,1.0,0.46,0.115736
dfc77c79,1,EKF,1.0,0.47,0.102219
dfc77c79,1,LMHE1,1.0,0.47,0.107956
dfc77c79,1,LMHE2,1.0,0.47,0.106295
dfc77c79,1,LMHE3,1.0,0.47,0.118273
dfc77c79,1,EKF,1.0,0.48,0.099055
dfc77c79,1,LMHE1,1.0,0.48,0.104748
dfc77c79,1,LMHE2,1.0,0.48,0.122585
dfc77c79,1,LMHE3,1.0,0.48,0.122388
dfc77c79,1,EKF,1.0,0.49,0.089370
dfc77c79,1,LMHE1,1.0,0.49,0.095129
dfc77c79,1,LMHE2,1.0,0.49,0.090246
dfc77c79,1,LMHE3,1.0,0.49,0.103273
dfc77c79,1,EKF,1.0,0.50,0.081095
dfc77c79,1,LMHE1,1.0,0.50,0.086189
dfc77c79,1,LMHE2,1.0,0.50,0.105790
dfc77c79,1,LMHE3,1.0,0.50,0.098370
dfc77c79,1,EKF,1.0,0.51,0.088379
dfc77c79,1,LMHE1,1.0,0.51,0.093905
dfc77c79,1,LMHE2,1.0,0.51,0.100817
dfc77c79,1,LMHE3,1.0,0.51,0.107519
dfc77c79,1,EKF,1.0,0.52,0.088779
dfc77c79,1,LMHE1,1.0,0.52,0.095104
dfc77c79,1,LMHE2,1.0,0.52,0.091288
dfc77c79,1,LMHE3,1.0,0.52,0.108150
dfc77c79,1,EKF,1.0,0.53,0.092182
dfc77c79,1,LMHE1,1.0,0.53,0.095133
